orFlow Version: 1.2.1
Default GPU Device: /gpu:0
Tests Passed
Tests Passed
Tests Passed
Tests Passed
Tests Passed
Training...

Epoch 1 ...
Loss = 72.854
Loss = 181.233
Loss = 37.492
Loss = 30.009
Loss = 24.220
Loss = 13.087
Loss = 9.119
Loss = 7.188
Loss = 6.255
Loss = 5.254
Loss = 4.269
Loss = 2.799
Loss = 2.096
Loss = 2.206
Loss = 2.366
Loss = 1.961
Loss = 1.392
Loss = 1.320
Loss = 1.455
Loss = 1.367
Loss = 1.219
Loss = 1.041
Loss = 0.955
Loss = 0.968
Loss = 0.994
Loss = 1.027
Loss = 0.931
Loss = 0.814
Loss = 0.841

Epoch 2 ...
Loss = 0.882
Loss = 0.894
Loss = 0.880
Loss = 0.812
Loss = 0.764
Loss = 0.772
Loss = 0.784
Loss = 0.803
Loss = 0.791
Loss = 0.752
Loss = 0.751
Loss = 0.751
Loss = 0.736
Loss = 0.751
Loss = 0.731
Loss = 0.740
Loss = 0.733
Loss = 0.713
Loss = 0.715
Loss = 0.730
Loss = 0.719
Loss = 0.713
Loss = 0.712
Loss = 0.708
Loss = 0.712
Loss = 0.706
Loss = 0.705
Loss = 0.703
Loss = 0.699

Epoch 3 ...
Loss = 0.698
Loss = 0.701
Loss = 0.701
Loss = 0.696
Loss = 0.693
Loss = 0.703
Loss = 0.696
Loss = 0.692
Loss = 0.694
Loss = 0.689
Loss = 0.685
Loss = 0.684
Loss = 0.684
Loss = 0.687
Loss = 0.685
Loss = 0.684
Loss = 0.680
Loss = 0.681
Loss = 0.680
Loss = 0.684
Loss = 0.682
Loss = 0.685
Loss = 0.680
Loss = 0.677
Loss = 0.678
Loss = 0.680
Loss = 0.682
Loss = 0.679
Loss = 0.670

Epoch 4 ...
Loss = 0.673
Loss = 0.674
Loss = 0.672
Loss = 0.670
Loss = 0.672
Loss = 0.676
Loss = 0.670
Loss = 0.680
Loss = 0.665
Loss = 0.669
Loss = 0.668
Loss = 0.672
Loss = 0.665
Loss = 0.670
Loss = 0.664
Loss = 0.664
Loss = 0.664
Loss = 0.663
Loss = 0.664
Loss = 0.658
Loss = 0.661
Loss = 0.667
Loss = 0.665
Loss = 0.661
Loss = 0.658
Loss = 0.658
Loss = 0.659
Loss = 0.659
Loss = 0.662

Epoch 5 ...
Loss = 0.661
Loss = 0.656
Loss = 0.655
Loss = 0.656
Loss = 0.661
Loss = 0.659
Loss = 0.649
Loss = 0.651
Loss = 0.655
Loss = 0.652
Loss = 0.659
Loss = 0.653
Loss = 0.652
Loss = 0.646
Loss = 0.650
Loss = 0.646
Loss = 0.646
Loss = 0.657
Loss = 0.650
Loss = 0.647
Loss = 0.646
Loss = 0.652
Loss = 0.643
Loss = 0.649
Loss = 0.643
Loss = 0.647
Loss = 0.650
Loss = 0.638
Loss = 0.640

Epoch 6 ...
Loss = 0.641
Loss = 0.645
Loss = 0.643
Loss = 0.641
Loss = 0.638
Loss = 0.641
Loss = 0.644
Loss = 0.643
Loss = 0.636
Loss = 0.632
Loss = 0.638
Loss = 0.643
Loss = 0.638
Loss = 0.641
Loss = 0.639
Loss = 0.627
Loss = 0.633
Loss = 0.637
Loss = 0.632
Loss = 0.627
Loss = 0.631
Loss = 0.628
Loss = 0.631
Loss = 0.627
Loss = 0.632
Loss = 0.631
Loss = 0.629
Loss = 0.625
Loss = 0.628

Epoch 7 ...
Loss = 0.632
Loss = 0.620
Loss = 0.630
Loss = 0.626
Loss = 0.622
Loss = 0.632
Loss = 0.618
Loss = 0.616
Loss = 0.614
Loss = 0.617
Loss = 0.624
Loss = 0.623
Loss = 0.614
Loss = 0.617
Loss = 0.615
Loss = 0.624
Loss = 0.621
Loss = 0.614
Loss = 0.617
Loss = 0.618
Loss = 0.609
Loss = 0.618
Loss = 0.610
Loss = 0.615
Loss = 0.614
Loss = 0.614
Loss = 0.613
Loss = 0.607
Loss = 0.612

Epoch 8 ...
Loss = 0.610
Loss = 0.607
Loss = 0.612
Loss = 0.602
Loss = 0.609
Loss = 0.605
Loss = 0.600
Loss = 0.605
Loss = 0.602
Loss = 0.602
Loss = 0.600
Loss = 0.604
Loss = 0.602
Loss = 0.592
Loss = 0.603
Loss = 0.591
Loss = 0.607
Loss = 0.594
Loss = 0.609
Loss = 0.590
Loss = 0.584
Loss = 0.594
Loss = 0.601
Loss = 0.584
Loss = 0.592
Loss = 0.594
Loss = 0.586
Loss = 0.588
Loss = 0.584

Epoch 9 ...
Loss = 0.578
Loss = 0.584
Loss = 0.581
Loss = 0.578
Loss = 0.577
Loss = 0.585
Loss = 0.582
Loss = 0.576
Loss = 0.580
Loss = 0.573
Loss = 0.577
Loss = 0.585
Loss = 0.588
Loss = 0.573
Loss = 0.572
Loss = 0.571
Loss = 0.582
Loss = 0.581
Loss = 0.562
Loss = 0.574
Loss = 0.574
Loss = 0.562
Loss = 0.564
Loss = 0.574
Loss = 0.584
Loss = 0.561
Loss = 0.566
Loss = 0.560
Loss = 0.564

Epoch 10 ...
Loss = 0.561
Loss = 0.555
Loss = 0.556
Loss = 0.559
Loss = 0.556
Loss = 0.556
Loss = 0.538
Loss = 0.552
Loss = 0.548
Loss = 0.544
Loss = 0.544
Loss = 0.544
Loss = 0.548
Loss = 0.544
Loss = 0.538
Loss = 0.550
Loss = 0.547
Loss = 0.537
Loss = 0.542
Loss = 0.537
Loss = 0.535
Loss = 0.523
Loss = 0.531
Loss = 0.540
Loss = 0.536
Loss = 0.543
Loss = 0.531
Loss = 0.522
Loss = 0.532

Epoch 11 ...
Loss = 0.515
Loss = 0.514
Loss = 0.531
Loss = 0.521
Loss = 0.520
Loss = 0.507
Loss = 0.531
Loss = 0.501
Loss = 0.520
Loss = 0.516
Loss = 0.516
Loss = 0.514
Loss = 0.498
Loss = 0.507
Loss = 0.504
Loss = 0.503
Loss = 0.497
Loss = 0.500
Loss = 0.484
Loss = 0.502
Loss = 0.486
Loss = 0.497
Loss = 0.493
Loss = 0.499
Loss = 0.494
Loss = 0.481
Loss = 0.473
Loss = 0.500
Loss = 0.479

Epoch 12 ...
Loss = 0.484
Loss = 0.484
Loss = 0.465
Loss = 0.472
Loss = 0.486
Loss = 0.457
Loss = 0.471
Loss = 0.470
Loss = 0.454
Loss = 0.459
Loss = 0.480
Loss = 0.450
Loss = 0.438
Loss = 0.460
Loss = 0.459
Loss = 0.444
Loss = 0.461
Loss = 0.441
Loss = 0.453
Loss = 0.446
Loss = 0.437
Loss = 0.447
Loss = 0.428
Loss = 0.443
Loss = 0.428
Loss = 0.441
Loss = 0.420
Loss = 0.435
Loss = 0.413

Epoch 13 ...
Loss = 0.418
Loss = 0.429
Loss = 0.407
Loss = 0.410
Loss = 0.409
Loss = 0.419
Loss = 0.398
Loss = 0.410
Loss = 0.413
Loss = 0.391
Loss = 0.380
Loss = 0.394
Loss = 0.425
Loss = 0.416
Loss = 0.517
Loss = 0.441
Loss = 0.396
Loss = 0.407
Loss = 0.455
Loss = 0.405
Loss = 0.368
Loss = 0.413
Loss = 0.438
Loss = 0.390
Loss = 0.375
Loss = 0.357
Loss = 0.485
Loss = 0.372
Loss = 0.376

Epoch 14 ...
Loss = 0.400
Loss = 0.443
Loss = 0.393
Loss = 0.404
Loss = 0.390
Loss = 0.393
Loss = 0.442
Loss = 0.356
Loss = 0.355
Loss = 0.345
Loss = 0.395
Loss = 0.340
Loss = 0.338
Loss = 0.323
Loss = 0.316
Loss = 0.344
Loss = 0.358
Loss = 0.309
Loss = 0.312
Loss = 0.322
Loss = 0.322
Loss = 0.302
Loss = 0.350
Loss = 0.313
Loss = 0.304
Loss = 0.296
Loss = 0.320
Loss = 0.292
Loss = 0.271

Epoch 15 ...
Loss = 0.315
Loss = 0.321
Loss = 0.290
Loss = 0.280
Loss = 0.263
Loss = 0.284
Loss = 0.286
Loss = 0.254
Loss = 0.250
Loss = 0.301
Loss = 0.291
Loss = 0.249
Loss = 0.252
Loss = 0.235
Loss = 0.273
Loss = 0.261
Loss = 0.231
Loss = 0.261
Loss = 0.324
